code,title,va_code,node_code,match_type,token,range_size,mapping_note,icd10_crosswalk,curated_icd10_bucket,own_icd10_bucket
1A30,Infections due to Balantidium coli,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A07.0,vas_01_04,vas_01_04
1A31,Giardiasis,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A07.1,vas_01_04,vas_01_04
1A32,Cryptosporidiosis,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A07.2,vas_01_04,vas_01_04
1A33,Cystoisosporiasis,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A07.3,vas_01_04,vas_01_04
1A33.0,Cystoisosporiasis of small intestine,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A07.3,vas_01_04,vas_01_04
1A33.1,Cystoisosporiasis of colon,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A07.3,vas_01_04,vas_01_04
1A33.Y,Other specified cystoisosporiasis,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A07.3,vas_01_04,vas_01_04
1A33.Z,"Cystoisosporiasis, unspecified",VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A07.3,vas_01_04,vas_01_04
1A34,Sarcocystosis,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A07.8,vas_01_04,vas_01_04
1A35,Blastocystosis,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A07.8,vas_01_04,vas_01_04
1A36,Amoebiasis,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A06.9,vas_01_04,vas_01_04
1A36.0,Intestinal infections due to Entamoeba,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A07.8,vas_01_04,vas_01_04
1A36.00,Acute amoebiasis,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A06.0,vas_01_04,vas_01_04
1A36.01,Amoeboma of intestine,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A06.3,vas_01_04,vas_01_04
1A36.0Y,Other specified intestinal infections due to Entamoeba,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A07.8,vas_01_04,vas_01_04
1A36.0Z,"Intestinal infections due to Entamoeba, unspecified",VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A07.8,vas_01_04,vas_01_04
1A36.1,Extraintestinal infections due to Entamoeba,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A06.9,vas_01_04,vas_01_04
1A36.10,Amoebic liver abscess,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A06.4,vas_01_04,vas_01_04
1A36.11,Amoebic lung abscess,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A06.5,vas_01_04,vas_01_04
1A36.12,Cutaneous amoebiasis,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A06.7,vas_01_04,vas_01_04
1A36.1Y,Amoebiasis of other specified sites,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A06.9,vas_01_04,vas_01_04
1A36.Z,"Amoebiasis, unspecified",VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A06.9,vas_01_04,vas_01_04
1A3Y,Other specified protozoal intestinal infections,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A07.9,vas_01_04,vas_01_04
1A3Z,"Protozoal intestinal infections, unspecified",VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A07.9,vas_01_04,vas_01_04
1A40,Gastroenteritis or colitis without specification of infectious agent,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A09,vas_01_04,vas_01_04
1A40.0,Gastroenteritis or colitis without specification of origin,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A09.9,vas_01_04,vas_01_04
1A40.Z,Infectious gastroenteritis or colitis without specification of infectious agent,VAs-01.04,vas_01_04,range,1A00-1A40.Z,67,ICD-11 2026-01 range 1A00-1A40.Z,A09,vas_01_04,vas_01_04
1A60,Congenital syphilis,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A50,vas_01_99,vas_01_99
1A60.0,"Early congenital syphilis, symptomatic",VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A50.0,vas_01_99,vas_01_99
1A60.1,"Early congenital syphilis, latent",VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A50.1,vas_01_99,vas_01_99
1A60.2,Late congenital syphilitic oculopathy,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A50.3,vas_01_99,vas_01_99
1A60.3,Late congenital neurosyphilis,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A50.4,vas_01_99,vas_01_99
1A60.4,"Other late congenital syphilis, symptomatic",VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A50,vas_01_99,vas_01_99
1A60.5,"Late congenital syphilis, latent",VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A50.6,vas_01_99,vas_01_99
1A60.Z,"Congenital syphilis, unspecified",VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A50,vas_01_99,vas_01_99
1A61,Early syphilis,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A51,vas_01_99,vas_01_99
1A61.0,Primary genital syphilis,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A51.0,vas_01_99,vas_01_99
1A61.1,Primary anal syphilis,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A51.1,vas_01_99,vas_01_99
1A61.2,Primary syphilis of other sites,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A51.2,vas_01_99,vas_01_99
1A61.3,Secondary syphilis of skin or mucous membranes,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A51.3,vas_01_99,vas_01_99
1A61.4,Secondary syphilis of other sites,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A51.4,vas_01_99,vas_01_99
1A61.5,Latent early syphilis,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A51.5,vas_01_99,vas_01_99
1A61.Y,Other specified early syphilis,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A51,vas_01_99,vas_01_99
1A61.Z,"Early syphilis, unspecified",VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A51,vas_01_99,vas_01_99
1A62,Late syphilis,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A52,vas_01_99,vas_01_99
1A62.0,Neurosyphilis,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A52,vas_01_99,vas_01_99
1A62.00,Asymptomatic neurosyphilis,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A52.2,vas_01_99,vas_01_99
1A62.01,Symptomatic late neurosyphilis,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A52.1,vas_01_99,vas_01_99
1A62.0Z,"Neurosyphilis, unspecified",VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A52,vas_01_99,vas_01_99
1A62.1,Cardiovascular late syphilis,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A52.0,vas_01_99,vas_01_99
1A62.2,Symptomatic late syphilis of other sites,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A52.7,vas_01_99,vas_01_99
1A62.20,Ocular late syphilis,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A52.7,vas_01_99,vas_01_99
1A62.21,Late syphilis involving the musculoskeletal system,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A52.7,vas_01_99,vas_01_99
1A62.22,Late syphilis of skin or mucous membranes,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A52.7,vas_01_99,vas_01_99
1A62.2Y,Symptomatic late syphilis of other specified sites,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A52.7,vas_01_99,vas_01_99
1A62.2Z,Symptomatic late syphilis of unspecified site,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A52.7,vas_01_99,vas_01_99
1A62.Y,Other specified late syphilis,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A52.8,vas_01_99,vas_01_99
1A62.Z,"Late syphilis, unspecified",VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A52,vas_01_99,vas_01_99
1A63,"Latent syphilis, unspecified as early or late",VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A53.0,vas_01_99,vas_01_99
1A6Z,"Syphilis, unspecified",VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A50-A64,vas_01_99,vas_01_99
1A70,Gonococcal genitourinary infection,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A54,vas_01_99,vas_01_99
1A70.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A54.0,vas_01_99,vas_01_99
1A70.00,Gonorrhoea of penis,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A54.0,vas_01_99,vas_01_99
1A70.0Y,Other specified gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A54.0,vas_01_99,vas_01_99
1A70.0Z,"Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess, unspecified",VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A54.0,vas_01_99,vas_01_99
1A70.1,Gonococcal infection of lower genitourinary tract with periurethral or accessory gland abscess,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A54.1,vas_01_99,vas_01_99
1A70.Y,Gonococcal infection of other specified genitourinary organ,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A54,vas_01_99,vas_01_99
1A70.Z,"Gonococcal genitourinary infection, unspecified",VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A54,vas_01_99,vas_01_99
1A71,Gonococcal pelviperitonitis,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A54,vas_01_99,vas_01_99
1A72,Gonococcal infection of other sites,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A54,vas_01_99,vas_01_99
1A72.0,Gonococcal infection of musculoskeletal system,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A54.4,vas_01_99,vas_01_99
1A72.1,Gonococcal infection of rectum,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A54.6,vas_01_99,vas_01_99
1A72.2,Gonococcal infection of anus,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A54.6,vas_01_99,vas_01_99
1A72.3,Gonococcal pharyngitis,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A54.5,vas_01_99,vas_01_99
1A72.4,Gonococcal infection of eye,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A54.3,vas_01_99,vas_01_99
1A72.Y,Gonococcal infection of other specified sites,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A54,vas_01_99,vas_01_99
1A73,Disseminated gonococcal infection,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A54,vas_01_99,vas_01_99
1A7Z,"Gonococcal infection, unspecified",VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A54,vas_01_99,vas_01_99
1A80,Chlamydial lymphogranuloma,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A55,vas_01_99,vas_01_99
1A81,Non-ulcerative sexually transmitted chlamydial infection,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A56,vas_01_99,vas_01_99
1A81.0,Chlamydial infection of lower genitourinary tract,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A56.0,vas_01_99,vas_01_99
1A81.1,Chlamydial infection of internal reproductive organs,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A56.1,vas_01_99,vas_01_99
1A81.Y,Non-ulcerative sexually transmitted chlamydial infection of other specified site,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A56.8,vas_01_99,vas_01_99
1A81.Z,Non-ulcerative sexually transmitted chlamydial infection of unspecified site,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A56,vas_01_99,vas_01_99
1A8Y,Other specified sexually transmissible infections due to chlamydia,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A50-A64,vas_01_99,vas_01_99
1A8Z,"Sexually transmissible infections due to chlamydia, unspecified",VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A50-A64,vas_01_99,vas_01_99
1A90,Chancroid,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A57,vas_01_99,vas_01_99
1A91,Granuloma inguinale,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A58,vas_01_99,vas_01_99
1A92,Trichomoniasis,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A59,vas_01_99,vas_01_99
1A93,Sexually transmissible infestations,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A63.8,vas_01_99,vas_01_99
1A94,Anogenital herpes simplex infection,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A60,vas_01_99,vas_01_99
1A94.0,Herpes simplex infection of genitalia or urogenital tract,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A60.0,vas_01_99,vas_01_99
1A94.1,Herpes simplex infection of perianal skin or rectum,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A60.1,vas_01_99,vas_01_99
1A94.Z,Anogenital herpes simplex infection without further specification,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A60,vas_01_99,vas_01_99
1A95,Anogenital warts,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A63.0,vas_01_99,vas_01_99
1A95.0,Anal warts,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A63.0,vas_01_99,vas_01_99
1A95.1,Genital warts,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A63.0,vas_01_99,vas_01_99
1A95.2,Extragenital condylomata acuminata,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A63.0,vas_01_99,vas_01_99
1A95.Z,"Anogenital warts, unspecified",VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A63.0,vas_01_99,vas_01_99
1A9Y,Other specified predominantly sexually transmitted infections,VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A50-A64,vas_01_99,vas_01_99
1A9Z,"Predominantly sexually transmitted infections, unspecified",VAs-01.99,vas_01_99,range,1A60-1A9Z,74,ICD-11 2026-01 range 1A60-1A9Z,A50-A64,vas_01_99,vas_01_99
1B10,Tuberculosis of the respiratory system,VAs-01.09,vas_01_09,range,1B10,4,ICD-11 2026-01 range 1B10,A16,vas_01_09,vas_01_09
1B10.0,"Respiratory tuberculosis, confirmed",VAs-01.09,vas_01_09,range,1B10,4,ICD-11 2026-01 range 1B10,A15,vas_01_09,vas_01_09
1B10.1,"Respiratory tuberculosis, not confirmed",VAs-01.09,vas_01_09,range,1B10,4,ICD-11 2026-01 range 1B10,A16,vas_01_09,vas_01_09
1B10.Z,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",VAs-01.09,vas_01_09,range,1B10,4,ICD-11 2026-01 range 1B10,A16,vas_01_09,vas_01_09
1B11,Tuberculosis of the nervous system,VAs-01.99,vas_01_99,range,1B11-1B51,68,ICD-11 2026-01 range 1B11-1B51,A17.9,vas_01_99,vas_01_99
1B11.0,Tuberculous meningitis,VAs-01.99,vas_01_99,range,1B11-1B51,68,ICD-11 2026-01 range 1B11-1B51,A17.0,vas_01_99,vas_01_99
1B11.1,Tuberculous meningoencephalitis,VAs-01.99,vas_01_99,range,1B11-1B51,68,ICD-11 2026-01 range 1B11-1B51,A17.8,vas_01_99,vas_01_99
1B11.2,Meningeal tuberculoma,VAs-01.99,vas_01_99,range,1B11-1B51,68,ICD-11 2026-01 range 1B11-1B51,A17.1,vas_01_99,vas_01_99
1B11.3,Tuberculous granuloma of brain,VAs-01.99,vas_01_99,range,1B11-1B51,68,ICD-11 2026-01 range 1B11-1B51,A17.9,vas_01_99,vas_01_99
