review_type,code,title,va_code,token,detail,decision
pa_split,PA11,Unintentional land transport nontraffic event injuring the user of a pedestrian conveyance,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA12,Unintentional land transport nontraffic event injuring a pedal cyclist,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA13,Unintentional land transport nontraffic event injuring a motor cyclist,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA14,Unintentional land transport nontraffic event injuring a car occupant,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA15,Unintentional land transport nontraffic event injuring an occupant of a bus or coach,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA16,Unintentional land transport nontraffic event injuring an occupant of a light goods vehicle,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA17,Unintentional land transport nontraffic event injuring an occupant of a heavy goods vehicle,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA18,Unintentional land transport nontraffic event injuring an occupant of a streetcar or tram,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA19,Unintentional land transport nontraffic event injuring an occupant of a low powered passenger vehicle,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA1A,Unintentional land transport nontraffic event injuring a user of a special vehicle mainly used in agriculture,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA1B,Unintentional land transport nontraffic event injuring a user of a special vehicle mainly used on industrial premises,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA1C,Unintentional land transport nontraffic event injuring a user of a special construction vehicle,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA1D,Unintentional land transport nontraffic event injuring a user of an all-terrain vehicle,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA1E,Unintentional land transport nontraffic event injuring a rider of an animal,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA1F,Unintentional land transport nontraffic event injuring an occupant of an animal-drawn vehicle,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA1Y,Unintentional land transport nontraffic event injuring a user of other specified land transport,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA1Z,Unintentional land transport nontraffic event injuring a user of unknown or unspecified land transport,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA20,Unintentional land transport event unknown whether traffic or nontraffic injuring a pedestrian,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",unknown whether traffic -> Other transport,owner decision 3
pa_split,PA21,Unintentional land transport event unknown whether traffic or nontraffic injuring the user of a pedestrian conveyance,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",unknown whether traffic -> Other transport,owner decision 3
pa_split,PA22,Unintentional land transport event unknown whether traffic or nontraffic injuring a pedal cyclist,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",unknown whether traffic -> Other transport,owner decision 3
pa_split,PA23,Unintentional land transport event unknown whether traffic or nontraffic injuring a motor cyclist,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",unknown whether traffic -> Other transport,owner decision 3
pa_split,PA24,Unintentional land transport event unknown whether traffic or nontraffic injuring a car occupant,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",unknown whether traffic -> Other transport,owner decision 3
pa_split,PA25,Unintentional land transport event unknown whether traffic or nontraffic injuring an occupant of a bus or coach,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",unknown whether traffic -> Other transport,owner decision 3
pa_split,PA26,Unintentional land transport event unknown whether traffic or nontraffic injuring an occupant of a light goods vehicle,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",unknown whether traffic -> Other transport,owner decision 3
pa_split,PA27,Unintentional land transport event unknown whether traffic or nontraffic injuring an occupant of a heavy goods vehicle,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",unknown whether traffic -> Other transport,owner decision 3
pa_split,PA28,Unintentional land transport event unknown whether traffic or nontraffic injuring an occupant of a streetcar or tram,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",unknown whether traffic -> Other transport,owner decision 3
pa_split,PA29,Unintentional land transport event unknown whether traffic or nontraffic injuring an occupant of a low powered passenger vehicle,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",unknown whether traffic -> Other transport,owner decision 3
pa_split,PA2A,Unintentional land transport event unknown whether traffic or nontraffic injuring an occupant of a special vehicle mainly used in agriculture,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",unknown whether traffic -> Other transport,owner decision 3
pa_split,PA2B,Unintentional land transport event unknown whether traffic or nontraffic injuring an occupant of a special vehicle mainly used on industrial premises,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",unknown whether traffic -> Other transport,owner decision 3
pa_split,PA2C,Unintentional land transport event unknown whether traffic or nontraffic injuring an occupant of a special construction vehicle,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",unknown whether traffic -> Other transport,owner decision 3
pa_split,PA2D,Unintentional land transport event unknown whether traffic or nontraffic injuring an occupant of an all-terrain vehicle,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",unknown whether traffic -> Other transport,owner decision 3
pa_split,PA2E,Unintentional land transport event unknown whether traffic or nontraffic injuring a rider of an animal,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",unknown whether traffic -> Other transport,owner decision 3
pa_split,PA2F,Unintentional land transport event unknown whether traffic or nontraffic injuring an occupant of an animal-drawn vehicle,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",unknown whether traffic -> Other transport,owner decision 3
pa_split,PA2Y,Unintentional land transport injury event unknown whether traffic or nontraffic injuring a user of other specified transport,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",unknown whether traffic -> Other transport,owner decision 3
pa_split,PA2Z,Unintentional land transport injury event unknown whether traffic or nontraffic injuring a user of unspecified transport,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",unknown whether traffic -> Other transport,owner decision 3
pa_split,PA30,Unintentional railway transport injury event with collision or derailment,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA31,Unintentional railway transport injury event without collision or derailment,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA3Z,Unintentional railway transport injury event of unspecified type,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA40,"Unintentional water transport injury event with water vessel not damaged, disabled or destroyed",VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA40.0,"Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning",VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA40.1,"Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury",VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA40.Z,"Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing unspecified injury",VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA41,"Unintentional water transport injury event with water vessel damaged, disabled or destroyed",VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA41.0,"Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning",VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA41.Z,"Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury",VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA4Z,Unintentional water transport injury event with damage to water vessel unspecified,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA50,Unintentional air or space transport injury event,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA50.0,"Unintentional air or space transport injury event with aircraft or spacecraft not damaged, disabled or destroyed",VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA50.1,"Unintentional air or space transport injury event with aircraft or spacecraft damaged, disabled or destroyed",VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA50.Z,"Unintentional air or space transport injury event, unspecified",VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA5Y,Other specified unintentional transport injury event,VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pa_split,PA5Z,"Unintentional transport injury event, unspecified",VAs-12.02,"PA1x-PA5x nontraffic, rail, water, air or other transport",title fits,
pj2x_split,PJ20,Physical maltreatment,VAs-12.09,VAs-12.09 PJ20-PJ2Z (5); VAs-12.99 PJ20-PJ2Z (5),maltreatment by others -> Assault,owner decision 2
pj2x_split,PJ21,Sexual maltreatment,VAs-12.09,VAs-12.09 PJ20-PJ2Z (5); VAs-12.99 PJ20-PJ2Z (5),maltreatment by others -> Assault,owner decision 2
pj2x_split,PJ22,Psychological maltreatment,VAs-12.09,VAs-12.09 PJ20-PJ2Z (5); VAs-12.99 PJ20-PJ2Z (5),maltreatment by others -> Assault,owner decision 2
pj2x_split,PJ2Y,Other specified maltreatment,VAs-12.09,VAs-12.09 PJ20-PJ2Z (5); VAs-12.99 PJ20-PJ2Z (5),maltreatment by others -> Assault,owner decision 2
pj2x_split,PJ2Z,"Maltreatment, unspecified",VAs-12.09,VAs-12.09 PJ20-PJ2Z (5); VAs-12.99 PJ20-PJ2Z (5),maltreatment by others -> Assault,owner decision 2
crosswalk_disagreement,1B12.40,Tuberculosis of bones or joints,VAs-01.99,M90.0,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B12.7,Tuberculosis of the digestive system,VAs-01.99,K93.0,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B1Y,Other specified tuberculosis,VAs-01.99,A15-A19,generated vas_01_99; WHO_2022_VA multiple:vas_01_09|vas_01_99; WHO_2022_VA_2026 ICD-10 multiple:vas_01_09|vas_01_99,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B1Z,"Tuberculosis, unspecified",VAs-01.99,A15-A19,generated vas_01_99; WHO_2022_VA multiple:vas_01_09|vas_01_99; WHO_2022_VA_2026 ICD-10 multiple:vas_01_09|vas_01_99,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B51,Streptococcal pharyngitis,VAs-01.99,J02.0,generated vas_01_99; WHO_2022_VA vas_01_02; WHO_2022_VA_2026 ICD-10 vas_01_02,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B70.1,Streptococcal cellulitis of skin,VAs-01.99,L03,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B70.2,Staphylococcal cellulitis of skin,VAs-01.99,L03,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B71,Necrotising fasciitis,VAs-01.99,M72.6,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B71.0,Streptococcal necrotising fasciitis,VAs-01.99,M72.6,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B71.1,Polymicrobial necrotising fasciitis,VAs-01.99,M72.6,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B71.2,Neonatal necrotising fasciitis,VAs-01.99,M72.6,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B71.Y,Necrotising fasciitis due to other specified bacterial infection,VAs-01.99,M72.6,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B71.Z,"Necrotising fasciitis, unspecified",VAs-01.99,M72.6,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B72,Impetigo,VAs-01.99,L01,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B72.0,Bullous impetigo,VAs-01.99,L01,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B72.1,Non-bullous impetigo,VAs-01.99,L01,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B72.2,Secondary impetiginisation of the skin,VAs-01.99,L01.1,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B72.Y,Other specified impetigo,VAs-01.99,L01,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B72.Z,"Impetigo, unspecified",VAs-01.99,L01,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B75.0,Furuncle,VAs-01.99,L02,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B75.1,Carbuncle,VAs-01.99,L02,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B75.2,Furunculosis,VAs-01.99,L02,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1B75.3,Pyogenic abscess of the skin,VAs-01.99,L02,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1C1G.13,Lyme arthritis,VAs-01.99,M01.2,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1C21,Chlamydial peritonitis,VAs-01.99,K67.0,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1C44,Non-pyogenic bacterial infections of the skin,VAs-01.99,L08.8,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1C80,"Viral encephalitis, not elsewhere classified",VAs-01.07,A80-A89,generated vas_01_07; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1C81,Acute poliomyelitis,VAs-01.07,A80.9,generated vas_01_07; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1C82,Rabies,VAs-01.07,A82.9,generated vas_01_07; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1C83,Western equine encephalitis,VAs-01.07,A83.1,generated vas_01_07; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1C84,Eastern equine encephalitis,VAs-01.07,A83.2,generated vas_01_07; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1C85,Japanese encephalitis,VAs-01.07,A83.0,generated vas_01_07; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1C86,St Louis encephalitis,VAs-01.07,A83.3,generated vas_01_07; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1C87,Rocio viral encephalitis,VAs-01.07,A83.6,generated vas_01_07; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1C88,Murray Valley encephalitis,VAs-01.07,A83.4,generated vas_01_07; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1C8B,California encephalitis,VAs-01.07,A83.5,generated vas_01_07; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1C8C,Venezuelan equine encephalitis,VAs-01.07,A92.2,generated vas_01_07; WHO_2022_VA vas_01_11; WHO_2022_VA_2026 ICD-10 vas_01_11,owner review (digitva-712.6)
crosswalk_disagreement,1C8D,La Crosse encephalitis,VAs-01.07,A83.5,generated vas_01_07; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1C8E.1,Enteroviral meningitis,VAs-01.07,A87.0,generated vas_01_07; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1C8E.2,Meningitis due to adenovirus,VAs-01.07,A87.1,generated vas_01_07; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1C8F,Lymphocytic choriomeningitis,VAs-01.07,A87.2,generated vas_01_07; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1C8G,Tick-borne encephalitis,VAs-01.07,A84.9,generated vas_01_07; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,owner decision 5a
crosswalk_disagreement,1C8G.0,Far Eastern tick-borne encephalitis,VAs-01.07,A84.0,generated vas_01_07; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,owner decision 5a
crosswalk_disagreement,1C8G.1,Central European tick-borne encephalitis,VAs-01.07,A84.1,generated vas_01_07; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,owner decision 5a
crosswalk_disagreement,1C8G.2,Siberian tick-borne encephalitis,VAs-01.07,A84.9,generated vas_01_07; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,owner decision 5a
crosswalk_disagreement,1C8G.Z,"Tick-borne encephalitis, unspecified",VAs-01.07,A84.9,generated vas_01_07; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,owner decision 5a
crosswalk_disagreement,1C8H,"Viral myelitis, not elsewhere classified",VAs-01.07,A80-A89,generated vas_01_07; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,owner decision 5a
crosswalk_disagreement,1C8Y,Other specified viral infections of the central nervous system,VAs-01.99,A80-A89,generated vas_01_99; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1C8Z,"Viral infections of the central nervous system, unspecified",VAs-01.99,A80-A89,generated vas_01_99; WHO_2022_VA vas_01_99; WHO_2022_VA_2026 ICD-10 vas_01_07,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1D01,"Infectious meningitis, not elsewhere classified",VAs-01.07,G00-G09,generated vas_01_07; WHO_2022_VA multiple:vas_01_07|vas_98; WHO_2022_VA_2026 ICD-10 multiple:vas_01_07|vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1D01.2,Parasitic or protozoal meningitis,VAs-01.07,G00-G09,generated vas_01_07; WHO_2022_VA multiple:vas_01_07|vas_98; WHO_2022_VA_2026 ICD-10 multiple:vas_01_07|vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1D01.Y,"Other specified infectious meningitis, not elsewhere classified",VAs-01.07,G00-G09,generated vas_01_07; WHO_2022_VA multiple:vas_01_07|vas_98; WHO_2022_VA_2026 ICD-10 multiple:vas_01_07|vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1D01.Z,"Infectious meningitis, unspecified",VAs-01.07,G00-G09,generated vas_01_07; WHO_2022_VA multiple:vas_01_07|vas_98; WHO_2022_VA_2026 ICD-10 multiple:vas_01_07|vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1D03,Infectious abscess of the central nervous system,VAs-01.99,G00-G09,generated vas_01_99; WHO_2022_VA multiple:vas_01_07|vas_98; WHO_2022_VA_2026 ICD-10 multiple:vas_01_07|vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1D03.0,Intraspinal intramedullary abscess,VAs-01.99,G00-G09,generated vas_01_99; WHO_2022_VA multiple:vas_01_07|vas_98; WHO_2022_VA_2026 ICD-10 multiple:vas_01_07|vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1D03.1,Intraspinal subdural abscess,VAs-01.99,G00-G09,generated vas_01_99; WHO_2022_VA multiple:vas_01_07|vas_98; WHO_2022_VA_2026 ICD-10 multiple:vas_01_07|vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1D03.2,Intraspinal extradural abscess,VAs-01.99,G00-G09,generated vas_01_99; WHO_2022_VA multiple:vas_01_07|vas_98; WHO_2022_VA_2026 ICD-10 multiple:vas_01_07|vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1D03.3,Intracranial abscess,VAs-01.99,G06.0,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1D03.30,Deep cerebral hemispheric abscess,VAs-01.99,G06.0,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1D03.31,Abscess of the corpus callosum,VAs-01.99,G06.0,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1D03.32,Pituitary abscess,VAs-01.99,G06.0,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1D03.33,Multiple or widespread intracranial abscess,VAs-01.99,G06.0,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1D03.3Y,Other specified intracranial abscess,VAs-01.99,G06.0,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
crosswalk_disagreement,1D03.3Z,"Intracranial abscess, unspecified",VAs-01.99,G06.0,generated vas_01_99; WHO_2022_VA vas_98; WHO_2022_VA_2026 ICD-10 vas_98,accepted: native bucket (owner decision 1)
